日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2307,クロスキャット,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,2311,エプコ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2317,システナ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20260228,2321,ソフトフロントホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2323,ｆｏｎｆｕｎ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2325,ＮＪＳ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,2326,デジタルアーツ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20260228,2327,日鉄ソリューションズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20260228,2329,東北新社,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2330,フォーサイド,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2331,ＡＬＳＯＫ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20260228,2332,クエスト,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2334,イオレ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2335,キューブシステム,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,2337,いちご,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20260228,2338,クオンタムソリューションズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,233A,ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０,ETF・ETN,-,-,-,-,-,-
20260228,2340,極楽湯ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2341,アルバイトタイムス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2342,トランスジェニックグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2344,平安レイサービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2345,ＨＯＤＬ１,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2349,エヌアイデイ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,234A,グローバルＸ　ＭＳＣＩ　キャッシュフローキング－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2351,ＡＳＪ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2353,日本駐車場開発,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20260228,2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2359,コア,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,235A,グローバルＸ　高配当３０－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,236A,ｉシェアーズ　日本国債７－１０年　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2370,メディネット,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2371,カカクコム,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20260228,2373,ケア２１,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2374,セントケア・ホールディング,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
